query_percent,ith_insert,avg_rel_err,avgtime
0.1,0,0.8993,0.0214
0.1,1,0.9028,0.0204
0.1,2,0.898,0.0203
0.1,3,0.8997,0.0202
0.1,4,0.8875,0.0199
0.1,0,0.8992,0.0197
0.1,1,0.9027,0.0199
0.1,2,0.9032,0.0199
0.1,3,0.906,0.0198
0.1,4,0.8982,0.0197
